timestamp,particulates,ozone,temperature,wind,aqi,county
"June 15, 2016 12:24:39 pm",,0.057,80,SE 10.4,050,washington
"June 15, 2016 12:24:40 pm",20.9,0.028,68,W 3.4,025,weber
"June 09, 2666 04:06:11 pm",,0.056,82,S 10,050,cache
"June 09, 2666 04:06:11 pm",,0.06,86,SE 4.6,075,carbon
"June 09, 2666 04:06:11 pm",1.6,0.058,93,NW 8.1,050,davis
"June 09, 2666 04:06:11 pm",7.2,0.059,90,E 5,050,duchesne
"June 09, 2666 04:06:11 pm",12,0.054,93,NW 8.1,050,salt lake
"June 09, 2666 04:06:11 pm",35.4,0.07,88,N 10.1,100,tooele
"June 09, 2666 04:06:12 pm",55.4,0.085,86,S 12.5,150,uintah
"June 09, 2666 04:06:12 pm",150.4,0.105,92,S 10.5,200,utah
"June 09, 2666 04:06:12 pm",250.4,0.200,94,SW 10.9,300,washington
"June 09, 2666 04:06:12 pm",300,0.5,87,W 5.3,500,weber
"December 02, 2016 08:52:41 pm",6.3,0.03,29° F,SW 8.2,"[""038"", ""box elder""]"
"December 02, 2016 08:52:41 pm",7.1,0.021,23° F,N 5.1,"[""038"", ""cache""]"
"December 02, 2016 08:53:10 pm",6.3,0.03,29° F,SW 8.2,"[""038"", ""box elder""]"
"December 02, 2016 08:53:10 pm",7.1,0.021,23° F,N 5.1,"[""038"", ""cache""]"
"December 02, 2016 08:53:30 pm",6.1,0.019,31° F,NE 1.6,"[""038"", ""salt lake""]"
"December 02, 2016 08:54:06 pm",6.3,0.03,29° F,SW 8.2,"[""038"", ""box elder""]"
"December 02, 2016 08:54:06 pm",7.1,0.021,23° F,N 5.1,"[""038"", ""cache""]"
"December 02, 2016 08:54:06 pm",,0.038,27° F,N 8.2,"[""_na"", ""carbon""]"
"December 02, 2016 08:54:06 pm",6.1,0.019,31° F,NE 1.6,"[""038"", ""davis""]"
"December 02, 2016 08:54:06 pm",8.7,0.028,28° F,N 4.1,"[""038"", ""duchesne""]"
"December 02, 2016 08:54:06 pm",6.1,0.019,31° F,NE 1.6,"[""038"", ""salt lake""]"
"December 02, 2016 08:54:06 pm",2.5,0.028,23° F,S 9.4,"[""013"", ""tooele""]"
"December 02, 2016 08:54:06 pm",5.8,0.024,23° F,W 5,"[""025"", ""uintah""]"
"December 02, 2016 08:54:06 pm",,0.007,30° F,S 4.7,"[""038"", ""utah""]"
"December 02, 2016 08:54:06 pm",,0.036,39° F,N 14.8,"[""025"", ""washington""]"
"December 02, 2016 08:54:06 pm",,,28° F,S 2,"[""_na"", ""weber""]"
"December 02, 2016 08:55:54 pm",6.3,0.03,29° F,SW 8.2,038,box elder
"December 02, 2016 08:55:54 pm",7.1,0.021,23° F,N 5.1,038,cache
"December 02, 2016 08:55:54 pm",,0.038,27° F,N 8.2,_na,carbon
"December 02, 2016 08:55:54 pm",6.1,0.019,31° F,NE 1.6,038,davis
"December 02, 2016 08:55:54 pm",8.7,0.028,28° F,N 4.1,038,duchesne
"December 02, 2016 08:55:54 pm",6.1,0.019,31° F,NE 1.6,038,salt lake
"December 02, 2016 08:55:54 pm",2.5,0.028,23° F,S 9.4,013,tooele
"December 02, 2016 08:55:54 pm",5.8,0.024,23° F,W 5,025,uintah
"December 02, 2016 08:55:54 pm",,0.007,30° F,S 4.7,038,utah
"December 02, 2016 08:55:54 pm",,0.036,39° F,N 14.8,025,washington
"December 02, 2016 08:55:54 pm",,,28° F,S 2,_na,weber
